player,x,y,cluster,team,position
Christian Nørgaard,1.7090315,4.922056,0,Brentford,MF
Christian Walton,7.940213,6.980658,1,Ipswich Town,GK
Christopher Nkunku,2.7985182,9.051438,2,Chelsea,FW
Claudio Echeverri,7.5778203,9.309909,1,Manchester City,FW
Cody Gakpo,0.2554696,8.198737,2,Liverpool,FW
Cole Palmer,-0.20948209,7.0567966,2,Chelsea,"MF,FW"
Conor Bradley,4.160041,7.751312,1,Liverpool,DF
Conor Chaplin,4.618439,8.584728,1,Ipswich Town,"MF,FW"
Conor Coady,5.0510983,5.2103004,0,Leicester City,DF
Conor Townsend,6.507868,6.6914077,1,Ipswich Town,DF
Craig Dawson,5.491731,5.7309527,1,Wolves,DF
Cristian Romero,3.2900312,4.916253,0,Tottenham,DF
Crysencio Summerville,3.3678782,7.7238884,1,West Ham,"FW,MF"
Curtis Jones,2.4076095,6.22644,0,Liverpool,"MF,DF"
Daichi Kamada,2.6097155,5.587292,0,Crystal Palace,MF
Dan Burn,3.2233152,3.9250515,0,Newcastle Utd,DF
Dane Scarlett,7.001687,9.582139,1,Tottenham,"FW,MF"
Dango Ouattara,0.39527503,8.080339,2,Bournemouth,FW
Daniel Bentley,7.4301977,6.981824,1,Wolves,GK
Daniel Jebbison,3.8698263,9.297055,1,Bournemouth,FW
Daniel Muñoz,1.0489836,5.0657105,0,Crystal Palace,DF
Daniel Podence,6.601052,7.3696012,1,Wolves,"MF,FW"
Danilo,6.2689595,8.834355,1,Nott'ham Forest,"MF,FW"
Danny Ings,3.591273,9.157299,1,West Ham,"FW,MF"
Danny Ward,7.4537477,6.6064587,1,Leicester City,GK
Danny Welbeck,0.6924481,8.981731,2,Brighton,FW
Dara O'Shea,2.7324831,3.6981647,0,Ipswich Town,DF
Darwin Núñez,2.5937107,9.010268,2,Liverpool,FW
David Brooks,4.109584,8.415005,2,Bournemouth,"FW,MF"
David Raya,9.840784,6.3271294,0,Arsenal,GK
Dean Henderson,9.927077,6.215177,0,Crystal Palace,GK
Dean Huijsen,2.6848996,3.4616678,0,Bournemouth,DF
Declan Rice,0.3573547,6.098967,0,Arsenal,MF
Dejan Kulusevski,0.042409584,7.4803624,2,Tottenham,"MF,FW"
Destiny Udogie,2.2507932,5.732754,0,Tottenham,DF
Diego Carlos,5.5408707,5.6779323,1,Aston Villa,DF
Diego Gómez,4.319042,7.8113227,1,Brighton,MF
Diogo Dalot,1.3443472,4.80943,0,Manchester Utd,DF
Diogo Jota,2.4630432,9.016396,2,Liverpool,FW
Divin Mubama,7.899506,9.050721,1,Manchester City,FW
Djed Spence,2.087945,5.666262,0,Tottenham,DF
Dominic Calvert-Lewin,2.4293292,9.090622,2,Everton,FW
Dominic Solanke,0.6603664,8.914763,2,Tottenham,FW
Dominik Szoboszlai,0.07753074,6.6548243,2,Liverpool,MF
Donyell Malen,3.395966,9.195633,1,Aston Villa,FW
Dwight McNeil,0.29486537,6.8813033,2,Everton,"MF,FW"
Eberechi Eze,-0.2687307,7.058106,2,Crystal Palace,"MF,FW"
Eddie Nketiah,2.6243236,8.999775,2,Crystal Palace,"FW,MF"
Ederson,9.91664,6.1268225,0,Manchester City,GK
Edmond-Paris Maghoma,6.146549,8.677908,1,Brentford,"MF,FW"
Edson Álvarez,2.610428,4.7943015,0,West Ham,MF
Eiran Cashin,6.4764924,9.046923,1,Brighton,DF
Elliot Anderson,0.5953175,5.53294,0,Nott'ham Forest,MF
Emerson Palmieri,2.9889636,5.872567,0,West Ham,DF
