player,x,y,cluster,team,position
Omar Marmoush,2.5723243,8.968458,2,Manchester City,"FW,MF"
Omari Hutchinson,0.8802719,7.122275,2,Ipswich Town,"MF,FW"
Orel Mangala,4.6354656,6.6045175,1,Everton,MF
Oscar Bobb,6.1863065,9.658821,1,Manchester City,FW
Pablo Sarabia,3.08875,8.746398,2,Wolves,"MF,FW"
Pape Matar Sarr,2.3699238,6.1722,0,Tottenham,MF
Patrick Dorgu,4.2371316,7.430861,1,Manchester Utd,DF
Patson Daka,4.7765617,8.665817,1,Leicester City,"FW,MF"
Pau Torres,3.3032043,4.8641114,0,Aston Villa,DF
Paul Onuachu,3.0737536,9.122652,1,Southampton,FW
Pedro Lima,6.7127194,9.738838,1,Wolves,DF
Pedro Neto,0.14584872,7.103439,2,Chelsea,FW
Pedro Porro,0.56422347,5.868955,0,Tottenham,DF
Pervis Estupiñán,1.3913459,5.5260677,0,Brighton,DF
Phil Foden,0.22109486,6.9873133,2,Manchester City,"MF,FW"
Philip Billing,5.1458707,9.006913,1,Bournemouth,MF
Player,-0.23341453,6.7740083,2,Squad,Pos
Radu Drăgușin,4.937881,5.7061515,1,Tottenham,DF
Raheem Sterling,5.4170475,7.0327835,1,Arsenal,"FW,MF"
Ramón Sosa,3.388783,8.720148,1,Nott'ham Forest,"FW,MF"
Rasmus Højlund,2.492002,8.970809,2,Manchester Utd,FW
Rayan Aït-Nouri,0.51052254,5.5100064,0,Wolves,DF
Raúl Jiménez,0.58945554,8.866278,2,Fulham,FW
Reece James,4.492038,6.8029027,1,Chelsea,"DF,MF"
Reiss Nelson,7.551709,8.133675,1,Arsenal,FW
Remy Rees-Dottin,7.9100776,8.662897,1,Bournemouth,FW
Renato Veiga,7.233212,8.228979,1,Chelsea,"DF,MF"
Ricardo Pereira,6.350535,6.6969023,1,Leicester City,DF
Riccardo Calafiori,4.4866486,7.182913,1,Arsenal,DF
Richarlison,3.3137922,9.191876,1,Tottenham,FW
Rico Henry,6.1615353,7.97728,1,Brentford,DF
Rico Lewis,2.403,5.942796,0,Manchester City,"DF,MF"
Robert Sánchez,9.720154,6.444288,0,Chelsea,GK
Robin Olsen,7.4777346,6.5840173,1,Aston Villa,GK
Rodri,6.687746,7.016658,1,Manchester City,MF
Rodrigo Bentancur,2.589647,4.8229694,0,Tottenham,MF
Rodrigo Gomes,4.359788,7.7801056,1,Wolves,"DF,FW"
Rodrigo Muniz,2.8574705,9.222201,2,Fulham,FW
Romain Esse,4.0354486,9.220061,1,Crystal Palace,MF
Roman Dixon,7.004034,8.999828,1,Everton,DF
Roméo Lavia,5.574675,8.123062,1,Chelsea,MF
Ronnie Edwards,7.3998933,9.197749,1,Southampton,DF
Ross Barkley,4.3331738,8.7506695,1,Aston Villa,MF
Ross Stewart,6.137239,7.175516,1,Southampton,FW
Ryan Christie,1.5913054,5.746889,0,Bournemouth,MF
Ryan Fraser,7.093931,7.1585946,1,Southampton,"FW,DF"
Ryan Gravenberch,1.3943814,4.4535785,0,Liverpool,MF
Ryan Manning,3.2550724,6.328343,0,Southampton,"DF,MF"
Ryan Sessegnon,3.2282996,8.758925,1,Fulham,"FW,DF"
Ryan Trevitt,7.464018,8.284338,1,Brentford,MF
Ryan Yates,2.8714786,6.080038,0,Nott'ham Forest,MF
Rúben Dias,3.045372,3.69639,0,Manchester City,DF
Sam Johnstone,7.852419,6.732428,1,Wolves,GK
Sam Morsy,2.1439114,4.783307,0,Ipswich Town,MF
Sammie Szmodics,3.0779634,8.995574,1,Ipswich Town,"FW,MF"
Samuel Amo-Ameyaw,6.2010098,9.621034,1,Southampton,"FW,DF"
Samuel Edozie,6.1336617,9.54405,1,Southampton,"DF,FW"
Sander Berge,2.611115,4.67583,0,Fulham,MF
Sandro Tonali,0.7018422,5.967407,0,Newcastle Utd,MF
Santiago Bueno,4.9409814,5.424833,0,Wolves,DF
Saša Lukić,1.6339729,5.6350884,0,Fulham,MF
Scott McTominay,6.736837,7.343395,1,Manchester Utd,MF
Sean Longstaff,5.1098013,6.440152,1,Newcastle Utd,MF
Sepp van den Berg,2.9786234,3.74154,0,Brentford,DF
Sergio Reguilón,6.3970675,6.9434304,1,Tottenham,DF
Shumaira Mheuka,7.4242315,9.345476,1,Chelsea,MF
Simon Adingra,3.9467144,8.141855,2,Brighton,"FW,MF"
Solly March,6.083554,6.6978207,1,Brighton,"FW,MF"
Son Heung-min,-0.31428292,7.456888,2,Tottenham,FW
Stefan Ortega,7.9814296,6.6737885,1,Manchester City,GK
Stephy Mavididi,0.8098005,7.3835783,2,Leicester City,FW
Sven Botman,6.1014214,8.9425335,1,Newcastle Utd,DF
Sávio,0.33716983,7.628078,2,Manchester City,"FW,MF"
Séamus Coleman,6.2888827,6.087459,1,Everton,DF
Taiwo Awoniyi,4.4301944,8.821641,1,Nott'ham Forest,FW
Takehiro Tomiyasu,6.768654,7.4215918,1,Arsenal,DF
Tariq Lamptey,4.5922847,7.544303,1,Brighton,DF
Taylor Harwood-Bellis,2.7913122,3.5418108,0,Southampton,DF
Thiago,6.96019,8.0856,1,Brentford,"FW,MF"
Thomas Partey,1.6569705,4.930542,0,Arsenal,"MF,DF"
Tim Iroegbunam,5.6174207,8.297059,1,Everton,MF
Timo Werner,3.4342928,8.238092,1,Tottenham,"FW,MF"
Timothy Castagne,4.779847,5.2469907,0,Fulham,DF
Toby Collyer,6.640387,9.179738,1,Manchester Utd,MF
Tom Cairney,4.3701277,8.520566,1,Fulham,MF
Tom King,7.174817,7.3108125,1,Wolves,GK
Tommy Doyle,4.411219,7.7743835,1,Wolves,MF
Tomáš Souček,1.6231642,8.495637,0,West Ham,MF
Tosin Adarabioyo,5.053414,5.330166,0,Chelsea,DF
Toti Gomes,2.563111,3.7109573,0,Wolves,DF
Trent Alexander-Arnold,0.49207345,5.723126,0,Liverpool,DF
Trevoh Chalobah,4.7982025,6.8341165,1,Crystal Palace,DF
Tyler Adams,2.5066829,4.7998366,0,Bournemouth,MF
Tyler Dibling,1.3045207,6.897742,2,Southampton,"FW,MF"
Tyler Fredricson,6.9868054,9.171989,1,Manchester Utd,DF
Tyrell Malacia,6.3899355,8.052289,1,Manchester Utd,DF
Tyrick Mitchell,0.96805286,4.8727694,0,Crystal Palace,DF
Tyrique George,4.0092397,9.201527,1,Chelsea,FW
Tyrone Mings,5.1867437,5.8931217,1,Aston Villa,DF
Valentino Livramento,1.2510551,4.960219,0,Newcastle Utd,DF
Victor Bernth Kristiansen,1.3998615,4.899724,0,Leicester City,DF
Victor Lindelöf,5.8218465,6.259179,1,Manchester Utd,DF
Virgil van Dijk,2.6865833,4.051462,0,Liverpool,DF
Vitaliy Mykolenko,1.4184287,4.9321504,0,Everton,DF
Vitaly Janelt,2.616532,5.2696986,0,Brentford,MF
Vitezslav Jaros,7.4780006,8.296387,1,Liverpool,GK
Vitor Reis,7.9842243,8.597255,1,Manchester City,DF
Vladimír Coufal,5.340365,5.7551107,1,West Ham,DF
Wataru Endo,6.1414065,6.212805,1,Liverpool,"MF,DF"
Welington,6.447874,7.8509574,1,Southampton,DF
Wes Burns,4.653642,8.420883,1,Ipswich Town,"FW,DF"
Wesley Fofana,4.9480777,5.821265,1,Chelsea,DF
Wilfred Ndidi,2.207486,5.114122,0,Leicester City,MF
Will Alves,7.541726,9.321828,1,Leicester City,FW
Will Hughes,1.6314522,5.8279524,0,Crystal Palace,MF
Will Lankshear,7.6435347,8.827939,1,Tottenham,"FW,MF"
William Osula,3.9628637,9.2812395,1,Newcastle Utd,FW
William Saliba,2.6724768,3.4773316,0,Arsenal,DF
William Smallbone,4.084963,6.5241423,1,Southampton,MF
Willian,6.062669,6.83786,1,Fulham,"FW,MF"
Willy Boly,6.3629885,6.095343,1,Nott'ham Forest,DF
Wilson Odobert,3.6006384,7.6526546,1,Tottenham,"FW,MF"
Wout Faes,2.9500213,3.5893056,0,Leicester City,DF
Woyo Coulibaly,6.444962,8.883386,1,Leicester City,DF
Yankuba Minteh,0.37138328,7.764608,2,Brighton,"FW,MF"
Yasin Ayari,1.6033998,6.1637893,0,Brighton,MF
Yehor Yarmoliuk,3.0526984,6.2778974,0,Brentford,MF
Yerson Mosquera,6.2778716,7.7335916,1,Wolves,DF
Yoane Wissa,0.7522569,8.760432,2,Brentford,FW
Youri Tielemans,0.4500662,5.9088335,0,Aston Villa,MF
Youssef Chermiti,6.8533335,9.654556,1,Everton,"FW,MF"
Yukinari Sugawara,3.6029627,6.32334,0,Southampton,"DF,MF"
Yunus Emre Konak,6.998736,9.232256,1,Brentford,"FW,MF"
Yves Bissouma,2.6860378,4.8524055,0,Tottenham,MF
Zain Silcott-Duberry,7.7559667,8.529018,1,Bournemouth,FW
Álex Moreno,4.689057,6.0797076,1,Nott'ham Forest,"DF,MF"
İlkay Gündoğan,0.80794895,6.372471,0,Manchester City,MF
Łukasz Fabiański,8.04056,6.5676184,1,West Ham,GK
