player,team,minutes,cluster,centroid_distance,x,y,role_name,is_representative,role_confidence
Brandon Austin,Tottenham,90.0,1,9.665932157313971,7.2462807,7.806373,The Balanced Players,False,0.6357207166848172
Brennan Johnson,Tottenham,2177.0,2,7.984172532190855,0.46572638,8.290322,The Attackers,True,0.6991010695548399
Bruno Fernandes,Manchester Utd,3018.0,2,20.176109547920824,-0.028904827,6.4050364,The Attackers,False,0.23962442456790378
Bruno Guimarães,Newcastle Utd,3122.0,0,14.433258589754598,0.69596267,5.455871,The Enforcers,False,0.4560548316077191
Bryan Mbeumo,Brentford,3122.0,2,15.770207985238164,-0.3257772,7.077019,The Attackers,False,0.4056693168235188
Bukayo Saka,Arsenal,1729.0,2,12.12877405983812,-0.07295821,7.279179,The Attackers,False,0.5429037727451437
Caleb Kporha,Crystal Palace,13.0,1,10.229112741275078,7.85599,9.0070095,The Balanced Players,False,0.6144961709127736
Caleb Okoli,Leicester City,1125.0,1,9.293752519491287,4.4177856,6.229276,The Balanced Players,False,0.6497470236693912
Callum Hudson-Odoi,Nott'ham Forest,2194.0,2,8.709438331596148,0.68604285,7.4724717,The Attackers,False,0.6717680300382672
Callum Wilson,Newcastle Utd,370.0,1,11.179246019171506,6.2063336,6.9870863,The Balanced Players,False,0.5786885670631935
Calvin Bassey,Fulham,3074.0,0,11.164956142960312,2.7206469,3.5340223,The Enforcers,False,0.5792271085902967
Cameron Archer,Southampton,1441.0,1,14.386562712029182,4.476807,8.686734,The Balanced Players,False,0.45781465576070746
Cameron Burgess,Ipswich Town,1541.0,1,12.565805734308599,5.146213,5.3459353,The Balanced Players,False,0.5264333917646941
Caoimhín Kelleher,Liverpool,900.0,1,8.53200907945512,7.9951696,7.15589,The Balanced Players,False,0.6784547933795737
Carlos Alcaraz,Southampton,11.0,1,21.506275592921835,6.0629807,9.7610445,The Balanced Players,False,0.18949455342076238
Carlos Baleba,Brighton,2661.0,0,13.717378583153076,1.5784869,4.419582,The Enforcers,False,0.48303414943245104
Carlos Forbs,Wolves,239.0,1,8.032534268206383,6.21889,9.177481,The Balanced Players,False,0.6972784643214394
Carlos Soler,West Ham,1409.0,1,11.39160520173785,3.6696887,6.435484,The Balanced Players,False,0.5706854019704062
Carlos Vinícius,Fulham,16.0,1,12.492516794255446,6.3390107,7.0328207,The Balanced Players,False,0.5291954267265566
Casemiro,Manchester Utd,1494.0,0,11.792352286829637,2.3397079,5.027973,The Enforcers,False,0.5555824756750439
Chadi Riad,Crystal Palace,90.0,1,7.999104027884954,7.392592,8.378134,The Balanced Players,False,0.6985383473608759
Charlie Taylor,Southampton,356.0,1,9.756757162151112,6.569068,6.7718916,The Balanced Players,False,0.6322978013228325
Cheick Doucouré,Crystal Palace,452.0,1,7.2662657781779965,5.8588867,8.57044,The Balanced Players,False,0.7261567692620894
Chidozie Obi-Martin,Manchester Utd,165.0,1,9.541767193940291,7.613238,9.074081,The Balanced Players,False,0.6404001126431671
Chiedozie Ogbene,Ipswich Town,238.0,1,6.201426433351009,6.5091987,7.3632474,The Balanced Players,False,0.7662872923266312
Chiquinho,Wolves,11.0,1,10.660670056272398,6.1594014,9.677068,The Balanced Players,False,0.598232101720265
Chris Richards,Crystal Palace,1922.0,0,10.755193075011393,3.541118,5.401238,The Enforcers,False,0.5946698195768947
Chris Wood,Nott'ham Forest,2959.0,2,16.433835666394597,0.6875418,8.975631,The Attackers,False,0.38065922859350165
Christian Eriksen,Manchester Utd,1061.0,2,18.395844746773932,4.178262,6.8196754,The Attackers,False,0.30671713485372154
Christian Nørgaard,Brentford,2819.0,0,11.498952216019267,1.7090315,4.922056,The Enforcers,False,0.5666398228382508
Christian Walton,Ipswich Town,630.0,1,10.789310554877368,7.940213,6.980658,The Balanced Players,False,0.5933840365906471
Christopher Nkunku,Chelsea,921.0,2,11.851788708275805,2.7985182,9.051438,The Attackers,False,0.5533424995760139
Claudio Echeverri,Manchester City,11.0,1,10.990231274334894,7.5778203,9.309909,The Balanced Players,False,0.5858119520264309
Cody Gakpo,Liverpool,1935.0,2,7.400076197106799,0.2554696,8.198737,The Attackers,True,0.7211138657206442
Cole Palmer,Chelsea,3122.0,2,16.418391584265606,-0.20948209,7.0567966,The Attackers,False,0.38124126859521557
Conor Bradley,Liverpool,754.0,1,9.978137684424048,4.160041,7.751312,The Balanced Players,False,0.6239546496556129
Conor Chaplin,Ipswich Town,857.0,1,7.15313542753527,4.618439,8.584728,The Balanced Players,False,0.730420304571733
Conor Coady,Leicester City,1714.0,0,13.86314799285939,5.0510983,5.2103004,The Enforcers,False,0.47754054827398307
Conor Townsend,Ipswich Town,335.0,1,10.510144073766396,6.507868,6.6914077,The Balanced Players,False,0.6039049634924335
Craig Dawson,Wolves,971.0,1,11.426547673351408,5.491731,5.7309527,The Balanced Players,False,0.5693685275800747
Cristian Romero,Tottenham,1416.0,0,8.255230244171539,3.2900312,4.916253,The Enforcers,False,0.6888857372464435
Crysencio Summerville,West Ham,786.0,1,9.994840395886376,3.3678782,7.7238884,The Balanced Players,False,0.6233251757816096
Curtis Jones,Liverpool,1712.0,0,11.257932535453934,2.4076095,6.22644,The Enforcers,False,0.5757231140379266
Daichi Kamada,Crystal Palace,1564.0,0,9.852840514604729,2.6097155,5.587292,The Enforcers,False,0.6286767149960638
Dan Burn,Newcastle Utd,3122.0,0,12.07747755421953,3.2233152,3.9250515,The Enforcers,False,0.5448369804274646
Dane Scarlett,Tottenham,34.0,1,11.035517946166092,7.001687,9.582139,The Balanced Players,False,0.5841052365136477
Dango Ouattara,Bournemouth,2005.0,2,8.736427830275147,0.39527503,8.080339,The Attackers,False,0.6707508787614105
Daniel Bentley,Wolves,180.0,1,11.023643426447531,7.4301977,6.981824,The Balanced Players,False,0.5845527506760055
Daniel Jebbison,Bournemouth,119.0,1,13.518782667856403,3.8698263,9.297055,The Balanced Players,False,0.4905186192710743
Daniel Muñoz,Crystal Palace,3122.0,0,14.21183094060331,1.0489836,5.0657105,The Enforcers,False,0.46439975934218103
Daniel Podence,Wolves,48.0,1,9.72826872139637,6.601052,7.3696012,The Balanced Players,False,0.6333714431208511
Danilo,Nott'ham Forest,275.0,1,6.1894931790173295,6.2689595,8.834355,The Balanced Players,False,0.7667370200161641
Danny Ings,West Ham,284.0,1,14.788028371025085,3.591273,9.157299,The Balanced Players,False,0.44268464862280044
Danny Ward,Leicester City,135.0,1,12.44751211095802,7.4537477,6.6064587,The Balanced Players,False,0.5308915149579444
Danny Welbeck,Brighton,2115.0,2,13.824684566328397,0.6924481,8.981731,The Attackers,False,0.4789901166366116
Dara O'Shea,Ipswich Town,3122.0,0,9.629066736525804,2.7324831,3.6981647,The Enforcers,False,0.6371100611210561
Darwin Núñez,Liverpool,1133.0,2,10.700434938603923,2.5937107,9.010268,The Attackers,False,0.5967334854873878
David Brooks,Bournemouth,960.0,2,12.746473339035104,4.109584,8.415005,The Attackers,False,0.5196245848646537
David Raya,Arsenal,3122.0,0,15.815237976671494,9.840784,6.3271294,The Enforcers,False,0.403972274806251
Dean Henderson,Crystal Palace,3122.0,0,15.236536158058133,9.927077,6.215177,The Enforcers,False,0.4257817682215502
Dean Huijsen,Bournemouth,2427.0,0,11.309569537038934,2.6848996,3.4616678,The Enforcers,False,0.5737770741088448
Declan Rice,Arsenal,2825.0,0,15.191104816049092,0.3573547,6.098967,The Enforcers,False,0.42749393590882045
Dejan Kulusevski,Tottenham,2389.0,2,10.378453643158219,0.042409584,7.4803624,The Attackers,False,0.6088679711879836
Destiny Udogie,Tottenham,1924.0,0,11.805541663551463,2.2507932,5.732754,The Enforcers,False,0.5550854085922831
Diego Carlos,Aston Villa,830.0,1,11.329152204279639,5.5408707,5.6779323,The Balanced Players,False,0.5730390635505516
Diego Gómez,Brighton,516.0,1,8.857455922325606,4.319042,7.8113227,The Balanced Players,False,0.6661897018448331
Diogo Dalot,Manchester Utd,2814.0,0,10.433724282468825,1.3443472,4.80943,The Enforcers,False,0.6067849906177957
Diogo Jota,Liverpool,1196.0,2,10.262452187027797,2.4630432,9.016396,The Attackers,False,0.6132397096416549
Divin Mubama,Manchester City,28.0,1,9.052364942681203,7.899506,9.050721,The Balanced Players,False,0.6588441797481279
Djed Spence,Tottenham,1792.0,0,10.129438480974722,2.087945,5.666262,The Enforcers,False,0.6182525875228064
Dominic Calvert-Lewin,Everton,1609.0,2,13.034113112689871,2.4293292,9.090622,The Attackers,False,0.5087843256020625
Dominic Solanke,Tottenham,2201.0,2,11.079335937181604,0.6603664,8.914763,The Attackers,False,0.582453871068116
Dominik Szoboszlai,Liverpool,2491.0,2,11.563919401867434,0.07753074,6.6548243,The Attackers,False,0.5641914092228224
Donyell Malen,Aston Villa,305.0,1,11.437358524036616,3.395966,9.195633,The Balanced Players,False,0.5689610998353377
Dwight McNeil,Everton,1371.0,2,12.206532450742571,0.29486537,6.8813033,The Attackers,False,0.5399732979136003
Eberechi Eze,Crystal Palace,2588.0,2,12.629154991241785,-0.2687307,7.058106,The Attackers,False,0.5240459529187977
Eddie Nketiah,Crystal Palace,1034.0,2,12.012000956315532,2.6243236,8.999775,The Attackers,False,0.54730459221805
Ederson,Manchester City,2320.0,0,14.798774750360236,9.91664,6.1268225,The Enforcers,False,0.4422796506051515
Edmond-Paris Maghoma,Brentford,119.0,1,6.469470346048037,6.146549,8.677908,The Balanced Players,False,0.7561855408529891
Edson Álvarez,West Ham,1772.0,0,10.398795422567526,2.610428,4.7943015,The Enforcers,False,0.6081013520245158
Eiran Cashin,Brighton,20.0,1,9.268763187899525,6.4764924,9.046923,The Balanced Players,False,0.6506887947944746
Elliot Anderson,Nott'ham Forest,2728.0,0,15.293627282782381,0.5953175,5.53294,The Enforcers,False,0.42363017914977397
Emerson Palmieri,West Ham,2113.0,0,8.693966729295036,2.9889636,5.872567,The Enforcers,False,0.6723511071907095
Emi Buendía,Aston Villa,98.0,1,10.588516710499535,5.223678,9.094499,The Balanced Players,False,0.6009513396229481
Emil Krafth,Newcastle Utd,342.0,1,6.875633830780553,6.2259,6.5839505,The Balanced Players,False,0.7408784870976818
Emile Smith Rowe,Fulham,2043.0,2,9.843847252310493,1.9645903,6.4700785,The Attackers,False,0.6290156434190954
Emiliano Martínez,Aston Villa,3122.0,0,15.784395991035801,9.8573065,6.328666,The Enforcers,False,0.4051346144792939
Emmanuel Agbadou,Wolves,1410.0,0,11.027500996896238,4.995958,5.3352356,The Enforcers,False,0.584407370698625
Enes Ünal,Bournemouth,345.0,1,14.389565256717624,3.250546,9.12293,The Balanced Players,False,0.4577014990770657
Enzo Fernández,Chelsea,2947.0,0,18.406072738999175,0.38053185,5.8070173,The Enforcers,False,0.3063316732534407
Eric da Silva Moreira,Nott'ham Forest,30.0,1,10.747782192936373,7.516667,8.359944,The Balanced Players,False,0.5949491129515103
Erling Haaland,Manchester City,2736.0,2,12.348380124361537,0.6537784,8.694833,The Attackers,False,0.5346274949382769
Ethan Nwaneri,Arsenal,895.0,2,13.067464597442443,3.6517339,7.853205,The Attackers,False,0.5075274106180305
Ethan Pinnock,Brentford,1913.0,0,10.306854921018049,3.3280826,4.634123,The Enforcers,False,0.6115663070300956
Evan Ferguson,West Ham,156.0,1,8.175374755614047,6.7280016,9.680384,The Balanced Players,False,0.6918952452449552
Evanilson,Bournemouth,2319.0,2,12.629879857380644,0.45877343,8.590393,The Attackers,False,0.5240186349412591
Ezri Konsa,Aston Villa,2936.0,0,8.165896609807877,2.855152,3.841028,The Enforcers,False,0.692252447437691
Fabian Schär,Newcastle Utd,2934.0,0,13.317283369981949,2.5293474,4.0517488,The Enforcers,False,0.49811250867807555
Fabio Carvalho,Brentford,455.0,1,11.582183474323154,3.7613184,9.053393,The Balanced Players,False,0.5635030924504403
Facundo Buonanotte,Leicester City,1523.0,2,12.701490973267697,1.4796784,6.7229753,The Attackers,False,0.5213198320169082
Federico Chiesa,Liverpool,108.0,1,9.918259104061365,5.238751,9.076733,The Balanced Players,False,0.626211289365622
Ferdi Kadioglu,Brighton,385.0,1,5.715474471551298,5.159062,8.098835,The Balanced Players,True,0.7846013286232812
Filip Jørgensen,Chelsea,540.0,1,7.890153274057698,7.9159956,7.770553,The Balanced Players,False,0.7026443665088389
Flynn Downes,Southampton,2151.0,0,7.719652867631633,2.56073,4.778592,The Enforcers,False,0.7090700029448279
Frank Onyeka,Brentford,25.0,1,7.249676831763702,6.9982867,7.4677486,The Balanced Players,False,0.7267819556809885
Fraser Forster,Tottenham,630.0,1,11.697820587127172,7.8087935,6.5988836,The Balanced Players,False,0.5591450849772541
Gabriel Jesus,Arsenal,608.0,1,10.549185959705108,3.2721941,9.158065,The Balanced Players,False,0.6024335947721114
Gabriel Magalhães,Arsenal,2363.0,0,9.20826223624307,3.0061362,3.8319464,The Enforcers,False,0.6529688897662381
Gabriel Martinelli,Arsenal,2290.0,2,7.818789150953384,0.18288948,7.981728,The Attackers,True,0.7053338610341222
George Edmundson,Ipswich Town,11.0,1,7.757075747031156,7.139854,7.793747,The Balanced Players,False,0.7076596496063831
George Hirst,Ipswich Town,661.0,1,10.135212826163098,3.262492,9.083154,The Balanced Players,False,0.6180349701949996
Georginio Rutter,Brighton,1656.0,2,8.443535357332369,0.7234124,8.004258,The Attackers,False,0.681789096120641
Gonçalo Guedes,Wolves,995.0,2,10.871195881678446,3.9001942,8.470513,The Attackers,False,0.5902980302256474
Guglielmo Vicario,Tottenham,2160.0,1,14.6985645846035,9.712211,6.4486628,The Balanced Players,False,0.4460562638452038
Guido Rodríguez,West Ham,1149.0,1,10.564763601894459,4.179646,5.8983173,The Balanced Players,False,0.6018465213021013
Gustavo Nunes,Brentford,12.0,1,10.448647874810666,7.9308887,8.957374,The Balanced Players,False,0.6062225662768944
Hamza Choudhury,Leicester City,131.0,1,8.474916479263397,6.060422,8.807034,The Balanced Players,False,0.6806064380571855
Harrison Armstrong,Everton,48.0,1,13.814011961957842,6.707905,9.66672,The Balanced Players,False,0.47939233430252715
Harrison Reed,Fulham,108.0,1,9.375092795025992,6.350935,7.06601,The Balanced Players,False,0.6466815586118881
Harry Amass,Manchester Utd,346.0,1,10.400339305501474,6.5271916,9.2043,The Balanced Players,False,0.6080431678204941
Harry Clarke,Ipswich Town,379.0,1,8.696488768406907,6.3096323,8.8777275,The Balanced Players,False,0.6722560592858398
Harry Howell,Brighton,11.0,1,10.698447056369337,7.8555875,9.210233,The Balanced Players,False,0.5968084026608114
Harry Maguire,Manchester Utd,1758.0,0,9.43349697105545,3.2597637,4.543925,The Enforcers,False,0.6444804846709205
Harry Toffolo,Nott'ham Forest,137.0,1,9.758559418834762,6.664351,6.7177973,The Balanced Players,False,0.6322298798060677
Harry Wilson,Fulham,1162.0,2,12.067001288477142,2.7718816,8.808465,The Attackers,False,0.5452317986937577
Harry Winks,Leicester City,1538.0,0,11.110606350211645,3.69894,6.164379,The Enforcers,False,0.5812753852829727
Harvey Barnes,Newcastle Utd,1755.0,2,10.112156573981276,0.22224854,8.147481,The Attackers,False,0.6189038894967324
Harvey Elliott,Liverpool,371.0,1,12.43970743907065,3.85447,8.87598,The Balanced Players,False,0.5311856490606227
Hwang Hee-chan,Wolves,661.0,1,8.07315989318157,4.735003,8.403939,The Balanced Players,False,0.6957474093430538
Hákon Valdimarsson,Brentford,145.0,1,10.043342247734989,8.027696,7.620276,The Balanced Players,False,0.6214972900129823
Ian Maatsen,Aston Villa,1139.0,2,12.235105903714869,3.5310912,7.2343144,The Attackers,False,0.5388964522663118
Ibrahim Sangaré,Nott'ham Forest,590.0,1,8.557229304087397,4.3436613,6.4673276,The Balanced Players,False,0.6775043206052389
Ibrahima Konaté,Liverpool,2560.0,0,8.579936322099654,2.8269548,3.6236818,The Enforcers,False,0.6766485628662948
Idrissa Gana Gueye,Everton,3063.0,0,11.375453661983283,2.0593739,5.0044103,The Enforcers,False,0.5712941038762827
Igor,Brighton,961.0,1,8.106933206616876,5.111256,5.87987,The Balanced Players,False,0.6944745969320871
Iliman Ndiaye,Everton,2430.0,2,9.909629399636321,0.6097216,7.6047688,The Attackers,False,0.6265365164096375
Illia Zabarnyi,Bournemouth,3109.0,0,12.66845285276691,2.5183787,3.4029534,The Enforcers,False,0.5225649372651383
Ismaila Sarr,Crystal Palace,2711.0,2,9.72482897119628,-0.09177235,7.9986863,The Attackers,False,0.6335010767368624
Issa Diop,Fulham,1339.0,1,9.074442572318373,5.1251006,5.560909,The Balanced Players,False,0.6580121417231724
Jack Clarke,Ipswich Town,1181.0,1,12.626310587345401,3.9573843,8.059126,The Balanced Players,False,0.5241531497618926
Jack Grealish,Manchester City,721.0,1,11.917303258961764,4.1501517,8.413642,The Balanced Players,False,0.5508734574616908
Jack Harrison,Everton,2076.0,2,10.882930728523739,1.1479858,6.9107037,The Attackers,False,0.5898557799047219
Jack Hinshelwood,Brighton,1842.0,0,11.396972452540327,2.6669662,6.075944,The Enforcers,False,0.5704831267791594
Jack Stephens,Southampton,1389.0,0,13.152662332402542,3.9244695,5.6512733,The Enforcers,False,0.5043165697672745
Jack Taylor,Ipswich Town,860.0,1,8.373897332702587,4.067161,6.5981083,The Balanced Players,False,0.6844135392980564
Jacob Greaves,Ipswich Town,2205.0,0,9.06701971852708,3.1150787,3.8681188,The Enforcers,False,0.6582918862749898
Jacob Murphy,Newcastle Utd,2360.0,2,10.276044696158507,-0.2646751,7.7324066,The Attackers,False,0.612727449737074
Jacob Ramsey,Aston Villa,1623.0,2,11.83679519724962,2.417915,6.6465726,The Attackers,False,0.5539075589372948
Jaden Philogene Bidace,Aston Villa,332.0,1,8.763930090304779,6.9921002,8.133204,The Balanced Players,False,0.669714403084767
Jadon Sancho,Chelsea,1764.0,2,9.79044564395383,0.82312024,7.4136763,The Attackers,False,0.631028185955443
Jahmai Simpson-Pusey,Manchester City,96.0,1,9.704299759103327,7.876221,8.653637,The Balanced Players,False,0.6342747596622684
Jake Evans,Leicester City,24.0,1,8.49528843312875,6.9813848,8.099376,The Balanced Players,False,0.6798386817111837
Jake O'Brien,Everton,1571.0,1,9.948077356678592,4.453068,6.2231445,The Balanced Players,False,0.625087531044507
Jakub Kiwior,Arsenal,1122.0,1,8.278718123375732,4.7522597,6.3500414,The Balanced Players,False,0.6880005512484617
Jakub Moder,Brighton,11.0,1,16.970665692229982,6.086331,9.728315,The Balanced Players,False,0.3604277543920805
Jakub Stolarczyk,Leicester City,900.0,1,9.812808520222246,8.107323,7.224816,The Balanced Players,False,0.6301853978614089
James Bree,Southampton,1075.0,1,9.020605545525436,5.265381,5.9124274,The Balanced Players,False,0.6600410938425096
James Garner,Everton,1594.0,0,9.73197261892754,2.500473,5.7794094,The Enforcers,False,0.6332318546035547
James Hill,Bournemouth,448.0,1,5.856447060198378,5.7253103,8.4337015,The Balanced Players,True,0.7792885049117485
James Justin,Leicester City,2912.0,0,8.36309968550727,1.4603575,4.782839,The Enforcers,False,0.6848204694438285
James Maddison,Tottenham,1809.0,2,11.682397566604742,0.1487193,6.9050384,The Attackers,False,0.5597263312317311
James Mcatee,Manchester City,349.0,1,12.215940443894945,3.6493306,9.260315,The Balanced Players,False,0.5396187395588339
James Milner,Brighton,170.0,1,10.633108320540813,6.0554295,6.568438,The Balanced Players,False,0.5992708188533692
James Tarkowski,Everton,2922.0,0,11.078726872767218,2.7671323,4.237029,The Enforcers,False,0.5824768248344733
James Ward-Prowse,West Ham,1039.0,1,13.75276675672733,3.6697204,6.377203,The Balanced Players,False,0.4817004779046917
Jamie Vardy,Leicester City,2823.0,2,14.884067747628185,0.66549045,9.001308,The Attackers,False,0.4390652196107169
