player,row_id,rk,nation,position,team,age,born,mp,starts,minutes,90s,gls,ast,gplusa,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxgplusxag,prgc,prgp,prgr,gls1,ast1,gplusa1,g_pk1,gplusa_pk,xg1,xag1,xgplusxag,npxg1,npxgplusxag1,row_id_misc,rk_misc,nation_misc,position_misc,team_misc,age_misc,born_misc,90s_misc,crdy_misc,crdr_misc,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,wonpct,row_id_passing,rk_passing,nation_passing,position_passing,team_passing,age_passing,born_passing,90s_passing,cmp,att,cmppct,totdist,prgdist,cmp1,att1,cmppct1,cmp2,att2,cmppct2,cmp3,att3,cmppct3,ast_passing,xag_passing,xa,a_xag,kp,1_per_3,ppa,crspa,prgp_passing,row_id_playtime,rk_playtime,nation_playtime,position_playtime,team_playtime,age_playtime,born_playtime,mp_playtime,minutes_playtime,mn_per_mp,minpct,90s_playtime,starts_playtime,mn_per_start,compl,subs,mn_per_sub,unsub,ppm,ong,onga,#error!,#error!1,on_off,onxg,onxga,xgplus_per_,xgplus_per_90,on_off1,row_id_defense,rk_defense,nation_defense,position_defense,team_defense,age_defense,born_defense,90s_defense,tkl,tklw_defense,def_3rd,mid_3rd,att_3rd,tkl1,att_defense,tklpct,lost_defense,blocks,sh,pass,int_defense,tklplusint,clr,err,row_id_pass_types,rk_pass_types,nation_pass_types,position_pass_types,team_pass_types,age_pass_types,born_pass_types,90s_pass_types,att_pass_types,live,dead,fk,tb,sw,crs_pass_types,ti,ck,in,out,str,cmp_pass_types,off_pass_types,blocks_pass_types,row_id_creation,rk_creation,nation_creation,position_creation,team_creation,age_creation,born_creation,90s_creation,sca,sca90,passlive,passdead,to,sh_creation,fld_creation,def,gca,gca90,passlive1,passdead1,to1,sh1,fld1,def1,row_id_possession,rk_possession,nation_possession,position_possession,team_possession,age_possession,born_possession,90s_possession,touches,def_pen,def_3rd_possession,mid_3rd_possession,att_3rd_possession,att_pen,live_possession,att_possession,succ,succpct,tkld,tkldpct,carries,totdist_possession,prgdist_possession,prgc_possession,1_per_3_possession,cpa,mis,dis,rec,prgr_possession,row_id_shooting,rk_shooting,nation_shooting,position_shooting,team_shooting,age_shooting,born_shooting,90s_shooting,gls_shooting,sh_shooting,sot,sotpct,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk_shooting,pk_shooting,pkatt_shooting,xg_shooting,npxg_shooting,npxg_per_sh,g_xg,np:g_xg,data_source,prgp_per90,prgc_per90,succ_per90,kp_per90,sca_per90,xag_per90,tkl_per90,int_per90,recov_per90,blocks_per90,gls_per90,xg_per90,sot_per90,g_per_sh_per90,PI,CCI,DA,FE
Ederson,161,156.0,br BRA,GK,Manchester City,30.0,1993.0,26.0,26.0,2320.0,25.8,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.5,1.5,0.0,2.0,0.0,0.0,0.16,0.16,0.0,0.16,0.0,0.06,0.06,0.0,0.06,161,156.0,br BRA,GK,Manchester City,30.0,1993.0,25.8,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,42.0,4.0,1.0,80.0,161,156.0,br BRA,GK,Manchester City,30.0,1993.0,25.8,811.0,923.0,87.9,19885.0,10928.0,142.0,142.0,100.0,471.0,479.0,98.3,157.0,289.0,65.3,4.0,1.5,0.2,2.2,4.0,21.0,1.0,0.0,2.0,195,189.0,br BRA,GK,Manchester City,30.0,1993.0,26.0,2320.0,89.0,67.8,25.8,26.0,89.0,25.0,0.0,,4.0,2.0,49.0,26.0,23.0,0.89,0.48,49.0,28.7,20.3,0.79,0.78,161,156.0,br BRA,GK,Manchester City,30.0,1993.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,11.0,4.0,161,156.0,br BRA,GK,Manchester City,30.0,1993.0,25.8,923.0,817.0,106.0,29.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,811.0,0.0,1.0,161,156.0,br BRA,GK,Manchester City,30.0,1993.0,25.8,6.0,0.23,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,161,156.0,br BRA,GK,Manchester City,30.0,1993.0,25.8,975.0,385.0,962.0,13.0,0.0,0.0,975.0,0.0,0.0,,0.0,,654.0,3060.0,1981.0,0.0,0.0,0.0,1.0,0.0,616.0,0.0,161,156.0,br BRA,GK,Manchester City,30.0,1993.0,25.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,fbref_2024_25,0.07758620689655173,0.0,0.0,0.15517241379310345,0.23275862068965517,0.05818965517241379,0.0,0.03879310344827586,1.6293103448275863,0.0,0.0,0.0,0.0,,-0.6960990284172683,-0.5472646644733627,-0.565339070783324,
Edmond-Paris Maghoma,334,323.0,eng ENG,"MF,FW",Brentford,23.0,2001.0,8.0,0.0,119.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,4.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.17,0.09,0.17,334,323.0,eng ENG,"MF,FW",Brentford,23.0,2001.0,1.3,0.0,0.0,0.0,2.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,3.0,25.0,334,323.0,eng ENG,"MF,FW",Brentford,23.0,2001.0,1.3,76.0,84.0,90.5,1259.0,343.0,38.0,40.0,95.0,29.0,31.0,93.5,6.0,7.0,85.7,0.0,0.1,0.0,0.1,1.0,2.0,0.0,0.0,13.0,401,387.0,eng ENG,"MF,FW",Brentford,23.0,2001.0,8.0,119.0,15.0,3.5,1.3,0.0,,0.0,8.0,15.0,15.0,1.25,3.0,1.0,2.0,1.51,1.32,2.2,1.8,0.4,0.28,0.19,334,323.0,eng ENG,"MF,FW",Brentford,23.0,2001.0,1.3,2.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,334,323.0,eng ENG,"MF,FW",Brentford,23.0,2001.0,1.3,84.0,83.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,2.0,334,323.0,eng ENG,"MF,FW",Brentford,23.0,2001.0,1.3,4.0,3.03,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.64,1.0,0.0,0.0,0.0,0.0,0.0,334,323.0,eng ENG,"MF,FW",Brentford,23.0,2001.0,1.3,101.0,2.0,18.0,58.0,27.0,4.0,101.0,4.0,3.0,75.0,1.0,25.0,68.0,414.0,221.0,4.0,3.0,1.0,2.0,0.0,75.0,4.0,334,323.0,eng ENG,"MF,FW",Brentford,23.0,2001.0,1.3,0.0,1.0,0.0,0.0,0.76,0.0,0.0,,23.8,0.0,0.0,0.0,0.1,0.1,0.12,0.1,0.1,fbref_2024_25,7.060575968222443,3.0252100840336134,2.26890756302521,0.7563025210084033,3.0252100840336134,0.07563025210084033,1.5126050420168067,0.7563025210084033,5.294117647058823,1.5126050420168067,0.0,0.07563025210084033,0.0,0.0,1.0069056625462793,0.07510617193060562,0.10218734573120392,-0.28465551245227955
Edson Álvarez,32,31.0,mx MEX,MF,West Ham,26.0,1997.0,28.0,20.0,1772.0,19.7,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.4,0.4,0.8,1.2,24.0,85.0,18.0,0.0,0.05,0.05,0.0,0.05,0.02,0.04,0.06,0.02,0.06,32,31.0,mx MEX,MF,West Ham,26.0,1997.0,19.7,9.0,1.0,0.0,42.0,18.0,4.0,6.0,18.0,27.0,0.0,0.0,0.0,88.0,30.0,23.0,56.6,32,31.0,mx MEX,MF,West Ham,26.0,1997.0,19.7,861.0,1003.0,85.8,14393.0,4200.0,424.0,475.0,89.3,361.0,402.0,89.8,66.0,92.0,71.7,1.0,0.8,0.9,0.2,12.0,92.0,12.0,3.0,85.0,42,41.0,mx MEX,MF,West Ham,26.0,1997.0,28.0,1772.0,63.0,51.8,19.7,20.0,76.0,4.0,8.0,32.0,2.0,1.25,19.0,29.0,10.0,0.51,0.18,23.5,29.7,6.2,0.32,0.04,32,31.0,mx MEX,MF,West Ham,26.0,1997.0,19.7,50.0,27.0,27.0,15.0,8.0,17.0,35.0,48.6,18.0,23.0,8.0,15.0,18.0,68.0,46.0,1.0,32,31.0,mx MEX,MF,West Ham,26.0,1997.0,19.7,1003.0,980.0,16.0,12.0,3.0,12.0,6.0,3.0,0.0,0.0,0.0,0.0,861.0,7.0,10.0,32,31.0,mx MEX,MF,West Ham,26.0,1997.0,19.7,28.0,1.42,24.0,0.0,2.0,1.0,1.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,32,31.0,mx MEX,MF,West Ham,26.0,1997.0,19.7,1239.0,67.0,361.0,693.0,194.0,12.0,1239.0,33.0,14.0,42.4,14.0,42.4,687.0,3783.0,1714.0,24.0,22.0,2.0,27.0,15.0,830.0,18.0,32,31.0,mx MEX,MF,West Ham,26.0,1997.0,19.7,0.0,12.0,1.0,8.3,0.61,0.05,0.0,0.0,26.3,0.0,0.0,0.0,0.4,0.4,0.03,0.4,0.4,fbref_2024_25,4.317155756207675,1.2189616252821671,0.7110609480812641,0.6094808126410836,1.4221218961625282,0.040632054176072234,2.539503386004515,0.9142212189616253,4.469525959367946,1.1681715575620768,0.0,0.020316027088036117,0.050790067720090294,0.0,0.014963586362989644,-0.3036095834657023,0.10024983124686712,-0.32053420951222517
Eiran Cashin,92,90.0,ie IRL,DF,Brighton,22.0,2001.0,2.0,0.0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,90.0,ie IRL,DF,Brighton,22.0,2001.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,66.7,92,90.0,ie IRL,DF,Brighton,22.0,2001.0,0.2,23.0,28.0,82.1,407.0,196.0,9.0,10.0,90.0,13.0,13.0,100.0,1.0,5.0,29.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,118,115.0,ie IRL,DF,Brighton,22.0,2001.0,2.0,20.0,10.0,0.6,0.2,0.0,,0.0,2.0,10.0,9.0,0.0,0.0,2.0,2.0,3.27,3.76,0.4,0.4,0.1,0.19,0.3,92,90.0,ie IRL,DF,Brighton,22.0,2001.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,92,90.0,ie IRL,DF,Brighton,22.0,2001.0,0.2,28.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,92,90.0,ie IRL,DF,Brighton,22.0,2001.0,0.2,1.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,90.0,ie IRL,DF,Brighton,22.0,2001.0,0.2,32.0,2.0,10.0,20.0,2.0,0.0,32.0,1.0,0.0,0.0,1.0,100.0,21.0,133.0,99.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,92,90.0,ie IRL,DF,Brighton,22.0,2001.0,0.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,fbref_2024_25,7.060575968222443,0.0,0.0,0.0,4.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,,2.381413672940944,-0.009907669782169448,-0.38795684453431634,
Elliot Anderson,32,31.0,eng ENG,MF,Nott'ham Forest,21.0,2002.0,37.0,33.0,2728.0,30.3,2.0,6.0,8.0,2.0,0.0,0.0,9.0,0.0,2.1,2.1,3.3,5.4,52.0,143.0,95.0,0.07,0.2,0.26,0.07,0.26,0.07,0.11,0.18,0.07,0.18,32,31.0,eng ENG,MF,Nott'ham Forest,21.0,2002.0,30.3,9.0,0.0,0.0,46.0,48.0,4.0,86.0,31.0,46.0,0.0,0.0,0.0,157.0,56.0,30.0,65.1,32,31.0,eng ENG,MF,Nott'ham Forest,21.0,2002.0,30.3,1085.0,1386.0,78.3,17458.0,5922.0,572.0,640.0,89.4,402.0,496.0,81.0,77.0,165.0,46.7,6.0,3.3,3.6,2.2,37.0,121.0,19.0,2.0,143.0,42,41.0,eng ENG,MF,Nott'ham Forest,21.0,2002.0,37.0,2728.0,74.0,79.8,30.3,33.0,79.0,13.0,4.0,27.0,0.0,1.76,49.0,37.0,12.0,0.4,0.4,35.2,39.3,4.1,0.13,0.22,32,31.0,eng ENG,MF,Nott'ham Forest,21.0,2002.0,30.3,75.0,46.0,39.0,29.0,9.0,34.0,67.0,43.2,33.0,43.0,9.0,29.0,31.0,107.0,76.0,4.0,32,31.0,eng ENG,MF,Nott'ham Forest,21.0,2002.0,30.3,1386.0,1292.0,85.0,26.0,7.0,4.0,86.0,2.0,48.0,17.0,8.0,0.0,1085.0,8.0,35.0,32,31.0,eng ENG,MF,Nott'ham Forest,21.0,2002.0,30.3,87.0,2.87,43.0,14.0,7.0,7.0,4.0,3.0,10.0,0.33,4.0,2.0,0.0,1.0,1.0,1.0,32,31.0,eng ENG,MF,Nott'ham Forest,21.0,2002.0,30.3,1832.0,102.0,424.0,891.0,547.0,72.0,1832.0,75.0,36.0,48.0,30.0,40.0,932.0,5071.0,2366.0,52.0,32.0,21.0,60.0,45.0,1089.0,95.0,32,31.0,eng ENG,MF,Nott'ham Forest,21.0,2002.0,30.3,2.0,40.0,7.0,17.5,1.32,0.23,0.05,0.29,18.8,0.0,0.0,0.0,2.1,2.1,0.05,0.1,0.1,fbref_2024_25,4.717741935483871,1.715542521994135,1.187683284457478,1.220674486803519,2.8702346041055717,0.10887096774193548,3.035190615835777,1.0227272727272727,6.8291788856304985,1.5835777126099706,0.06598240469208211,0.06928152492668621,0.23093841642228738,0.0016495601173020528,0.16264608576581926,0.22001874319034515,0.3472666093313058,-0.16401884887256496
Emerson Palmieri,424,409.0,it ITA,DF,West Ham,29.0,1994.0,31.0,26.0,2113.0,23.5,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,1.5,3.4,47.0,66.0,83.0,0.09,0.04,0.13,0.09,0.13,0.08,0.06,0.15,0.08,0.15,424,409.0,it ITA,DF,West Ham,29.0,1994.0,23.5,5.0,0.0,0.0,25.0,13.0,0.0,64.0,21.0,31.0,0.0,0.0,0.0,84.0,18.0,20.0,47.4,424,409.0,it ITA,DF,West Ham,29.0,1994.0,23.5,861.0,1077.0,79.9,12546.0,4549.0,515.0,574.0,89.7,283.0,348.0,81.3,43.0,102.0,42.2,1.0,1.5,2.2,0.5,16.0,51.0,13.0,5.0,66.0,522,503.0,it ITA,DF,West Ham,29.0,1994.0,31.0,2113.0,68.0,61.8,23.5,26.0,77.0,7.0,5.0,24.0,4.0,1.16,32.0,41.0,9.0,0.38,0.1,28.0,37.1,9.1,0.39,0.14,424,409.0,it ITA,DF,West Ham,29.0,1994.0,23.5,60.0,31.0,37.0,18.0,5.0,27.0,48.0,56.3,21.0,32.0,8.0,24.0,21.0,81.0,59.0,0.0,424,409.0,it ITA,DF,West Ham,29.0,1994.0,23.5,1077.0,887.0,185.0,20.0,1.0,2.0,64.0,140.0,25.0,7.0,8.0,0.0,861.0,5.0,23.0,424,409.0,it ITA,DF,West Ham,29.0,1994.0,23.5,41.0,1.75,25.0,11.0,0.0,2.0,2.0,1.0,2.0,0.09,1.0,1.0,0.0,0.0,0.0,0.0,424,409.0,it ITA,DF,West Ham,29.0,1994.0,23.5,1325.0,82.0,422.0,559.0,359.0,28.0,1325.0,30.0,10.0,33.3,17.0,56.7,555.0,3013.0,1737.0,47.0,25.0,9.0,24.0,7.0,747.0,83.0,424,409.0,it ITA,DF,West Ham,29.0,1994.0,23.5,2.0,16.0,7.0,43.8,0.68,0.3,0.13,0.29,19.0,3.0,0.0,0.0,2.0,2.0,0.12,0.0,0.0,fbref_2024_25,2.8111689540937057,2.0018930430667297,0.4259346900141978,0.6814955040227165,1.746332229058211,0.06389020350212968,2.555608140085187,0.8944628490298154,3.5778513961192617,1.362991008045433,0.08518693800283957,0.08518693800283957,0.29815428300993846,0.005537150970184572,-0.05002423144759621,-0.1798253021059638,0.0539328631798189,-0.11077287681270595
Emi Buendía,74,73.0,ar ARG,"MF,FW",Aston Villa,27.0,1996.0,12.0,0.0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.0,0.7,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.49,0.02,0.62,0.47,0.62,74,73.0,ar ARG,"MF,FW",Aston Villa,27.0,1996.0,1.1,1.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,74,73.0,ar ARG,"MF,FW",Aston Villa,27.0,1996.0,1.1,49.0,60.0,81.7,624.0,166.0,33.0,36.0,91.7,12.0,14.0,85.7,1.0,5.0,29.7,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,7.0,95,93.0,ar ARG,"MF,FW",Aston Villa,27.0,1996.0,12.0,98.0,8.0,2.9,1.1,0.0,,0.0,12.0,8.0,11.0,2.0,1.0,2.0,1.0,0.92,1.14,1.9,2.0,0.1,0.08,0.24,74,73.0,ar ARG,"MF,FW",Aston Villa,27.0,1996.0,1.1,6.0,6.0,3.0,2.0,1.0,0.0,5.0,0.0,5.0,5.0,1.0,4.0,0.0,6.0,2.0,0.0,74,73.0,ar ARG,"MF,FW",Aston Villa,27.0,1996.0,1.1,60.0,59.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,74,73.0,ar ARG,"MF,FW",Aston Villa,27.0,1996.0,1.1,3.0,2.76,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,73.0,ar ARG,"MF,FW",Aston Villa,27.0,1996.0,1.1,82.0,0.0,17.0,35.0,31.0,3.0,82.0,2.0,0.0,0.0,2.0,100.0,53.0,185.0,119.0,3.0,5.0,0.0,4.0,3.0,64.0,6.0,74,73.0,ar ARG,"MF,FW",Aston Villa,27.0,1996.0,1.1,0.0,5.0,0.0,0.0,3.54,0.0,0.0,,19.1,1.0,0.0,0.0,0.7,0.7,0.13,0.7,0.7,fbref_2024_25,6.428571428571429,2.7551020408163267,0.0,0.9183673469387755,2.7551020408163267,0.0,4.547038327526132,0.0,7.346938775510204,2.247658688865765,0.0,0.4909090909090909,0.0,0.0,0.4587529049625621,-0.1200410396152609,0.42066925153772045,0.11020502574067727
Emil Krafth,305,295.0,se SWE,DF,Newcastle Utd,29.0,1994.0,12.0,2.0,342.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,5.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,305,295.0,se SWE,DF,Newcastle Utd,29.0,1994.0,3.8,2.0,0.0,0.0,5.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,19.0,8.0,8.0,50.0,305,295.0,se SWE,DF,Newcastle Utd,29.0,1994.0,3.8,124.0,158.0,78.5,2017.0,786.0,60.0,74.0,81.1,53.0,62.0,85.5,7.0,12.0,58.3,0.0,0.1,0.0,0.1,1.0,6.0,1.0,0.0,8.0,370,357.0,se SWE,DF,Newcastle Utd,29.0,1994.0,12.0,342.0,29.0,10.0,3.8,2.0,90.0,2.0,10.0,16.0,14.0,1.92,5.0,2.0,3.0,0.79,0.26,4.9,6.5,1.5,0.4,0.98,305,295.0,se SWE,DF,Newcastle Utd,29.0,1994.0,3.8,4.0,2.0,2.0,1.0,1.0,2.0,3.0,66.7,1.0,5.0,4.0,1.0,2.0,6.0,16.0,0.0,305,295.0,se SWE,DF,Newcastle Utd,29.0,1994.0,3.8,158.0,138.0,20.0,4.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,124.0,0.0,4.0,305,295.0,se SWE,DF,Newcastle Utd,29.0,1994.0,3.8,3.0,0.79,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305,295.0,se SWE,DF,Newcastle Utd,29.0,1994.0,3.8,199.0,34.0,100.0,73.0,28.0,4.0,199.0,1.0,0.0,0.0,1.0,100.0,82.0,397.0,175.0,5.0,6.0,0.0,2.0,2.0,98.0,3.0,305,295.0,se SWE,DF,Newcastle Utd,29.0,1994.0,3.8,0.0,1.0,0.0,0.0,0.26,0.0,0.0,,14.6,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,fbref_2024_25,2.1052631578947367,1.3157894736842106,0.0,0.2631578947368421,0.7894736842105263,0.02631578947368421,1.0526315789473684,0.5263157894736842,5.0,1.3157894736842106,0.0,0.0,0.0,0.0,-0.25949436534781256,-0.5105624957335664,-0.02538384212384817,-0.3373035842113405
Emile Smith Rowe,497,479.0,eng ENG,MF,Fulham,24.0,2000.0,34.0,25.0,2043.0,22.7,6.0,3.0,9.0,6.0,0.0,0.0,3.0,0.0,4.5,4.5,1.4,6.0,53.0,126.0,127.0,0.26,0.13,0.4,0.26,0.4,0.2,0.06,0.26,0.2,0.26,497,479.0,eng ENG,MF,Fulham,24.0,2000.0,22.7,3.0,0.0,0.0,19.0,14.0,4.0,16.0,11.0,18.0,0.0,0.0,0.0,75.0,6.0,20.0,23.1,497,479.0,eng ENG,MF,Fulham,24.0,2000.0,22.7,922.0,1023.0,90.1,13141.0,2429.0,548.0,592.0,92.6,330.0,348.0,94.8,21.0,29.0,72.4,3.0,1.4,2.0,1.6,24.0,80.0,15.0,1.0,126.0,611,589.0,eng ENG,MF,Fulham,24.0,2000.0,34.0,2043.0,60.0,59.7,22.7,25.0,73.0,0.0,9.0,24.0,0.0,1.38,29.0,28.0,1.0,0.04,0.11,29.5,25.0,4.5,0.2,0.38,497,479.0,eng ENG,MF,Fulham,24.0,2000.0,22.7,31.0,18.0,7.0,14.0,10.0,8.0,24.0,33.3,16.0,22.0,2.0,20.0,11.0,42.0,16.0,0.0,497,479.0,eng ENG,MF,Fulham,24.0,2000.0,22.7,1023.0,985.0,35.0,6.0,2.0,2.0,16.0,3.0,1.0,0.0,0.0,0.0,922.0,3.0,18.0,497,479.0,eng ENG,MF,Fulham,24.0,2000.0,22.7,73.0,3.22,57.0,0.0,3.0,7.0,2.0,3.0,12.0,0.53,10.0,0.0,1.0,0.0,0.0,1.0,497,479.0,eng ENG,MF,Fulham,24.0,2000.0,22.7,1223.0,20.0,166.0,591.0,476.0,60.0,1223.0,35.0,16.0,45.7,16.0,45.7,779.0,3728.0,1932.0,53.0,40.0,12.0,36.0,18.0,940.0,127.0,497,479.0,eng ENG,MF,Fulham,24.0,2000.0,22.7,6.0,37.0,11.0,29.7,1.63,0.48,0.16,0.55,16.0,0.0,0.0,0.0,4.5,4.5,0.12,1.5,1.5,fbref_2024_25,5.5506607929515415,2.3348017621145374,0.7048458149779736,1.0572687224669604,3.2158590308370045,0.06167400881057268,1.3656387665198237,0.4845814977973568,3.303964757709251,0.9691629955947136,0.2643171806167401,0.19823788546255505,0.4845814977973568,0.007048458149779736,0.32934067913588083,0.13187829000324447,-0.17337084005778303,0.2796161782056907
Emiliano Martínez,346,334.0,ar ARG,GK,Aston Villa,31.0,1992.0,37.0,36.0,3122.0,34.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.5,0.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,346,334.0,ar ARG,GK,Aston Villa,31.0,1992.0,34.7,5.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,34.0,10.0,1.0,90.9,346,334.0,ar ARG,GK,Aston Villa,31.0,1992.0,34.7,1091.0,1387.0,78.7,27219.0,10928.0,194.0,198.0,98.0,629.0,640.0,98.3,157.0,289.0,49.4,0.0,0.5,0.1,0.5,2.0,27.0,0.0,0.0,4.0,413,399.0,ar ARG,GK,Aston Villa,31.0,1992.0,37.0,3122.0,86.0,91.3,34.7,36.0,86.0,32.0,0.0,,0.0,1.7,56.0,45.0,11.0,0.31,1.9,53.5,44.7,8.9,0.25,1.42,346,334.0,ar ARG,GK,Aston Villa,31.0,1992.0,34.7,3.0,3.0,3.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,0.0,3.0,17.0,4.0,346,334.0,ar ARG,GK,Aston Villa,31.0,1992.0,34.7,1387.0,1117.0,243.0,68.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1091.0,7.0,0.0,346,334.0,ar ARG,GK,Aston Villa,31.0,1992.0,34.7,6.0,0.17,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,346,334.0,ar ARG,GK,Aston Villa,31.0,1992.0,34.7,1449.0,385.0,1038.0,20.0,0.0,0.0,1449.0,1.0,1.0,100.0,0.0,0.0,889.0,4616.0,2936.0,0.0,0.0,0.0,1.0,0.0,784.0,0.0,346,334.0,ar ARG,GK,Aston Villa,31.0,1992.0,34.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,fbref_2024_25,0.11271133375078271,0.0,0.028177833437695678,0.056355666875391355,0.16906700062617408,0.014088916718847839,0.08453350031308704,0.0,0.9580463368816531,0.028177833437695678,0.0,0.0,0.0,,-0.690629988945102,-0.6832284464215761,-0.6167148384361084,
