player,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31
Aaron Cresswell,-3.7620899978120637,-4.138492930181618,-2.2702774761465445,-7.689104597288096,5.028206866659806,-0.45676752626525113,0.5015063505897014,0.9892759626250259,-0.11232890656871991,0.46090884949806177,-1.2412417038889183,-0.5716151025463692,0.15390147206097735,-1.2028331577467886,-0.13150339305189426,0.5644198611009807,-0.5925871106937319,0.0008363567803024067,0.9684867357163226,0.07978329322624618,-0.2234771037147,-0.19267138418883106,1.5591558021357212,0.526798661580352,-0.9818363612756896,0.3628743346671497,0.2892943988656915,0.0004679808855191165,0.5697285160550684,-0.3297984957538505,0.4070608413885476
Aaron Ramsdale,-1.5173804169506486,-8.76869145309437,-3.7821093759343842,2.0518324963000882,-4.859509350205323,-7.261049305472386,1.3620676740958222,0.3477364026258691,-2.740805497344419,-1.4989653439056636,1.9806782664526645,2.9562199534715377,0.7758064078656713,-0.18916817745772257,-0.6210649297375643,-2.4894971842231453,0.15797752140591803,-0.6842802781368724,-0.2163874394354671,-0.630358048018094,0.5611788698709437,-0.0828193760961503,-0.2313707549547673,0.367011567241624,0.8609224186254125,-0.6896804237363782,0.6679227507418968,-1.5683833650365844,-0.06951289790007101,0.45379705798164877,-0.11443665281257437
Aaron Wan-Bissaka,16.14844017001094,-4.080397905200509,-2.05952238411149,6.117503627872622,2.7827351690083892,-0.1532585830567039,-3.4463327790303815,-4.0186816113306785,-1.518331898714828,2.6761344317829683,2.0744675398805117,-2.433334982843458,-1.0820853058654853,-0.5171749815737913,0.3831525784957802,0.8939040967457383,-0.9803452228440455,0.2616283535966483,-0.10989509779948911,-0.47931685228892407,-1.544368608424852,0.21927434492749295,-0.6233281369478995,-0.40578986930035144,-0.04567191783441284,-0.8772398172061554,0.09094126156059902,0.6860811791629746,-0.9765954717652062,1.8287149757421295,-0.5266981772534561
Abdoulaye Doucouré,7.905906804429579,-1.3920168062787102,-0.9788571035712924,-5.9490637543166995,-0.9007955139024728,3.4887683367737155,-3.458427716939692,-0.6436744143499584,0.6221887265480721,-0.34157882852427535,-0.9282759249577079,0.35861803550135596,4.238188105679915,1.0538998412917178,-0.3531337438921374,1.062862830167646,-0.19581040014449597,1.4203436972229744,-1.520178568289713,1.6335825863036184,-0.2740251975189144,0.45510669534678616,-0.8957259293630624,-0.6332332362340193,-1.1112383963640584,1.5192210853737884,0.34758397654160084,-1.897107830373145,1.9884402914029882,0.7575260389734169,-0.5749255320600171
Abdukodir Khusanov,-8.316619055538398,-1.6206075594986438,3.6461578573633204,3.3079559197281916,-0.3837456206366157,-1.2467250989731573,-0.6866719657815394,1.042647445385389,1.0059044168525426,-0.08846293846463896,-1.6505873405834666,-1.1227101274542766,0.4906171489634904,-2.2151296866649317,-1.4356550507319514,-2.109985883450521,-0.5377423610542027,-1.0281537287482836,0.3065108349231854,-0.6825427486178981,-1.2162633789155284,-1.4089250185253177,-0.14227072600002247,0.5006187110319942,0.5858287596906296,-1.1345528011910988,0.32044235476117705,0.037150810815959896,0.20386940196284703,0.0725830221550308,0.07465236635234188
Abdul Fatawu Issahaku,-3.071231201671688,5.693524954375408,5.589727853836529,0.9297902178422682,2.627633848944743,-0.6609860186702755,-1.8671397687791855,-1.6787667795381043,-3.2577444668486026,-1.217314324198385,-0.48625003395341465,0.3857795320938329,-0.10069232982700609,1.285847881133664,-0.5877899950801624,0.675848988134906,0.08521444047043221,-2.5245536774334694,-1.2877464836573904,-1.9221336701067506,-1.1659286565400948,0.8920073718773087,-0.832964442808502,0.4240657009326617,-0.026184009199940243,-1.3836183410403273,-0.8032544875567229,1.6150344298145294,-0.9323109790125185,-0.47564006795106084,0.7925082588203686
Adam Armstrong,-1.6184421744922386,3.392854881877822,1.2177078243813888,-7.174049539547118,-2.349521949898765,-1.193087988539714,-2.0496099722669916,1.1719030616464263,0.8551538967282138,-1.9315393268889842,2.1015322305043482,2.14853200730366,-1.1885008232579273,-0.5115980280241691,-1.846885672044195,-0.4221641633096186,-0.6125669306803914,1.4027674833302082,1.6589632175265001,-2.573096155350551,-2.2342193182548926,1.2800547678518925,-1.3284420495047766,-0.4005095306587281,-1.0050607554569218,0.27501329349705134,-0.07677120617645769,0.3974768003394569,-0.2793550677185204,-0.16464350347494056,-0.08425688166514407
Adam Lallana,-5.582210998308671,0.2740226933804411,-5.677985188893544,-4.449383493009461,5.441193482178665,1.525991063842748,-0.17946541978481478,-2.198337400161285,-0.47918834954469613,0.2256097527428686,-0.6679740520143633,1.3769685220426482,-0.6756378983742595,1.3135938102755822,-2.7020877789003386,-0.860440064600637,1.7751013796874777,0.19986586126776387,0.45674707747781695,-0.9205722840356059,-0.8861849164915172,0.25328727408473345,-0.09515592625445651,0.3705266912159217,-0.3396241019415183,1.1314333472186013,0.5282315319821771,-0.4900189051485576,-0.7368562427393792,-0.6876049437666948,-0.8098076925667672
Adam Smith,-0.03129069586833453,-4.862342365769602,-7.961412983082349,-0.3189653743087566,2.166898675338709,1.5430758715103936,-2.810125863157676,0.17388993055143007,-1.1911808984427787,-0.103851722260791,0.23582998539894937,-0.39573623086654913,0.3914482789240149,-0.5840845662835481,-0.01891433674005243,0.30274769724944,0.2532150851143389,1.6610327498368838,2.0541136962486473,1.3569028602712767,1.1759581799419967,-0.6976506877712919,0.584827625996584,1.2010063790985706,0.4513842152754914,-0.6629013486634416,0.13618124939773865,-0.23200418348708188,-0.7905041315830058,1.3578949272880891,-1.0477551044235704
Adam Webster,-2.854167666633412,-5.126777669594318,-6.236949973018709,3.258341558325914,1.8475025910192602,0.8246913798541785,1.6985936361762985,-0.9180336386114993,1.6490189978679657,-0.5811376105248789,0.2861553522542393,-1.0081764855595836,-1.464711698795719,-0.6446664081745132,-0.6613731408665521,-0.43207529372426307,0.9018828366816932,-1.5672210232692911,0.8459784187860313,-1.1044200221972549,-0.7466518151371393,-0.6978585760380748,0.3902511171215729,-0.8144737444739437,-0.24871395673917338,0.05807006826457429,1.8559376296974752,0.8911911305745536,-0.42322449792743355,-0.9071918264630026,-0.16771190647039794
