,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
510,Kieran Tierney,sct SCO,"DF,FW",Arsenal,27,1997,2.9,199,8,36,72,91,6,199,4,2,50,1,25,108,447,253,8,6,1,3,0,143,29,Matches
511,Jurriën Timber,nl NED,DF,Arsenal,23,2001,26.9,1661,51,304,859,505,66,1661,53,24,45.3,24,45.3,890,3916,2076,57,27,11,33,24,1052,104,Matches
512,Jean-Clair Todibo,fr FRA,DF,West Ham,24,1999,20.3,1297,165,716,543,47,11,1297,16,9,56.3,7,43.8,760,3221,1602,9,5,0,14,11,890,5,Matches
513,Harry Toffolo,eng ENG,DF,Nott'ham Forest,28,1995,1.5,88,9,32,22,34,2,88,0,0,,0,,17,57,23,0,0,0,0,0,30,4,Matches
514,Takehiro Tomiyasu,jp JPN,DF,Arsenal,25,1998,0.1,7,1,4,1,2,1,7,0,0,,0,,1,7,5,0,0,0,0,0,2,0,Matches
515,Sandro Tonali,it ITA,MF,Newcastle Utd,24,2000,29.2,1818,64,406,991,450,45,1818,37,20,54.1,14,37.8,979,5567,2334,37,40,6,30,23,1257,53,Matches
516,Pau Torres,es ESP,DF,Aston Villa,27,1997,22.4,1518,237,701,726,97,17,1518,17,15,88.2,2,11.8,965,6359,4176,40,27,0,6,5,1090,8,Matches
517,Conor Townsend,eng ENG,DF,Ipswich Town,31,1993,3.7,172,28,87,50,38,5,172,0,0,,0,,53,278,136,2,2,0,2,2,75,13,Matches
518,Adama Traoré,es ESP,"FW,MF",Fulham,28,1996,19.7,801,4,83,285,455,91,801,97,48,49.5,36,37.1,538,4631,2486,100,45,33,37,25,607,161,Matches
519,Boubacar Traoré,ml MLI,MF,Wolves,22,2001,0,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
520,Mark Travers,ie IRL,GK,Bournemouth,25,1999,5,162,144,159,3,0,0,162,0,0,,0,,85,426,188,0,0,0,0,0,68,0,Matches
521,Ryan Trevitt,eng ENG,MF,Brentford,21,2003,0,7,1,2,4,1,0,7,0,0,,0,,4,7,2,0,0,0,0,0,4,1,Matches
522,Kieran Trippier,eng ENG,DF,Newcastle Utd,33,1990,14.5,1388,50,375,616,406,13,1388,8,4,50,4,50,609,2258,1224,26,14,4,11,8,847,58,Matches
523,Leandro Trossard,be BEL,FW,Arsenal,29,1994,28.3,1278,17,135,399,762,158,1278,86,38,44.2,37,43,828,5024,2218,80,55,30,66,52,956,226,Matches
524,Kostas Tsimikas,gr GRE,DF,Liverpool,28,1996,9.3,741,33,190,327,229,13,741,12,5,41.7,5,41.7,368,1567,790,17,8,2,6,4,472,43,Matches
525,Axel Tuanzebe,cd COD,DF,Ipswich Town,26,1997,19,971,97,407,426,145,8,971,10,4,40,6,60,402,1698,826,10,7,1,11,1,516,15,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
526,Destiny Udogie,it ITA,DF,Tottenham,21,2002,21.4,1376,63,394,609,389,49,1376,32,13,40.6,16,50,758,4340,2352,54,40,12,37,19,819,94,Matches
527,Manuel Ugarte,uy URU,MF,Manchester Utd,23,2001,19.8,1161,46,331,639,211,16,1161,32,18,56.3,10,31.3,668,2883,1347,16,16,1,32,25,728,20,Matches
528,Lesley Ugochukwu,fr FRA,MF,Southampton,20,2004,18.4,879,50,215,501,169,24,879,28,19,67.9,8,28.6,479,2565,1229,29,15,6,12,13,600,20,Matches
529,Enes Ünal,tr TUR,"FW,MF",Bournemouth,27,1997,3.8,172,6,14,63,95,26,172,12,1,8.3,10,83.3,91,261,95,4,3,1,17,13,133,22,Matches
530,Hákon Valdimarsson,is ISL,GK,Brentford,22,2001,1.6,72,60,71,1,0,0,72,0,0,,0,,44,191,80,0,0,0,0,0,36,0,Matches
531,Virgil van Dijk,nl NED,DF,Liverpool,33,1991,37,3300,450,1317,1827,166,48,3300,5,3,60,2,40,1856,8754,4846,22,24,3,10,5,2281,6,Matches
532,Jamie Vardy,eng ENG,FW,Leicester City,37,1987,31.4,586,30,61,272,260,111,584,23,11,47.8,10,43.5,285,1504,717,29,13,16,34,14,382,120,Matches
533,Renato Veiga,pt POR,"DF,MF",Chelsea,21,2003,2,167,2,61,82,27,3,167,5,3,60,2,40,85,417,144,4,5,1,1,0,110,3,Matches
534,Joël Veltman,nl NED,DF,Brighton,32,1992,18.9,1133,65,332,558,253,10,1133,15,4,26.7,5,33.3,548,2917,1521,32,25,3,19,7,626,34,Matches
535,Micky van de Ven,nl NED,DF,Tottenham,23,2001,11.3,895,110,460,408,36,9,895,8,4,50,4,50,620,2883,1407,8,10,1,5,5,651,1,Matches
536,Bart Verbruggen,nl NED,GK,Brighton,21,2002,36,1406,1109,1392,14,0,0,1406,2,2,100,0,0,955,3507,1804,0,1,1,2,0,909,0,Matches
537,Jannik Vestergaard,dk DEN,DF,Leicester City,31,1992,15.5,1092,196,572,497,28,10,1092,4,4,100,0,0,672,2932,1458,3,3,0,2,0,757,2,Matches
538,Guglielmo Vicario,it ITA,GK,Tottenham,27,1996,24,928,626,910,18,0,0,928,1,1,100,0,0,661,3067,1700,0,0,0,0,0,597,0,Matches
539,Carlos Vinícius,br BRA,"MF,FW",Fulham,29,1995,0.2,7,0,1,3,3,2,7,1,1,100,0,0,7,24,11,1,0,1,1,0,6,3,Matches
540,Kyle Walker,eng ENG,DF,Manchester City,34,1990,10.8,892,26,197,473,228,5,892,6,3,50,2,33.3,499,2284,1106,12,13,0,9,2,630,11,Matches
541,Kyle Walker-Peters,eng ENG,DF,Southampton,27,1997,32.4,2022,151,615,884,540,59,2022,92,38,41.3,39,42.4,1271,7917,4373,114,72,24,32,39,1433,144,Matches
542,Christian Walton,eng ENG,GK,Ipswich Town,28,1995,7,272,248,271,1,0,0,272,0,0,,0,,143,699,384,0,0,0,0,0,131,0,Matches
543,Aaron Wan-Bissaka,cd COD,DF,West Ham,26,1997,35,2256,147,682,969,637,48,2256,122,64,52.5,43,35.2,1092,6700,3661,110,65,15,35,22,1322,167,Matches
544,Danny Ward,wls WAL,GK,Leicester City,31,1993,1.5,55,40,55,0,0,0,55,1,0,0,1,100,44,176,107,0,0,0,0,0,35,0,Matches
545,Joel Ward,eng ENG,DF,Crystal Palace,34,1989,0.8,32,3,17,15,1,0,32,1,0,0,1,100,15,43,15,0,0,0,0,0,16,1,Matches
546,James Ward-Prowse,eng ENG,MF,West Ham,29,1994,11.5,849,30,180,513,158,11,849,5,2,40,3,60,427,1999,845,11,16,0,3,6,593,9,Matches
547,James Ward-Prowse,eng ENG,MF,Nott'ham Forest,29,1994,4.4,205,13,49,115,45,1,205,0,0,,0,,92,407,170,1,3,0,3,3,115,3,Matches
548,Ollie Watkins,eng ENG,FW,Aston Villa,28,1995,28.9,695,18,50,248,407,168,693,41,10,24.4,27,65.9,409,2243,1125,55,21,38,60,50,552,165,Matches
549,Adam Webster,eng ENG,DF,Brighton,29,1995,9.9,824,119,389,399,43,15,824,3,1,33.3,2,66.7,476,2600,1475,8,6,0,5,1,552,2,Matches
550,Danny Welbeck,eng ENG,FW,Brighton,33,1990,23.5,726,18,58,318,356,102,725,37,13,35.1,21,56.8,448,2065,890,21,23,8,49,28,547,95,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
551,Welington,br BRA,DF,Southampton,23,2001,5.4,276,31,113,102,64,3,276,9,5,55.6,3,33.3,100,389,197,5,4,1,9,4,120,19,Matches
552,Timo Werner,de GER,"FW,MF",Tottenham,28,1996,5.7,298,8,24,78,203,33,298,19,10,52.6,8,42.1,215,1768,1062,42,24,18,14,6,227,89,Matches
553,Adam Wharton,eng ENG,MF,Crystal Palace,20,2004,14.6,872,30,204,463,212,11,872,10,2,20,8,80,430,2014,1078,14,23,2,17,13,533,11,Matches
554,Ben White,eng ENG,DF,Arsenal,26,1997,13.3,813,55,214,367,238,28,813,6,0,0,5,83.3,394,1617,953,23,16,4,10,6,494,42,Matches
555,Mats Wieffer,nl NED,"DF,MF",Brighton,24,1999,11.3,867,55,223,450,206,22,867,15,7,46.7,7,46.7,483,2351,1051,18,20,1,19,9,533,23,Matches
556,Neco Williams,wls WAL,DF,Nott'ham Forest,23,2001,28.8,1565,155,558,574,453,45,1565,46,18,39.1,19,41.3,650,3952,2169,68,28,16,36,21,744,103,Matches
557,Willian,br BRA,"FW,MF",Fulham,35,1988,2.9,231,1,18,83,134,7,231,7,1,14.3,4,57.1,148,1005,503,11,10,2,3,1,183,33,Matches
558,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,24,1999,12.1,533,12,74,231,239,55,533,35,12,34.3,17,48.6,325,2217,1034,38,28,16,37,23,372,86,Matches
559,Callum Wilson,eng ENG,FW,Newcastle Utd,32,1992,4.1,95,1,5,55,38,19,95,7,1,14.3,4,57.1,47,243,105,5,4,5,16,12,60,17,Matches
560,Harry Wilson,wls WAL,"FW,MF",Fulham,27,1997,12.9,598,11,81,203,324,63,598,24,9,37.5,10,41.7,342,1879,864,22,18,11,19,6,390,96,Matches
561,Harry Winks,eng ENG,MF,Leicester City,28,1996,17.1,1158,49,275,746,151,1,1158,12,3,25,8,66.7,696,3268,1522,19,13,0,13,8,827,11,Matches
562,Ben Winterburn,eng ENG,"MF,FW",Bournemouth,19,2004,0.3,9,0,2,5,2,1,9,0,0,,0,,6,50,40,2,0,1,0,0,6,2,Matches
563,Yoane Wissa,cd COD,FW,Brentford,27,1996,32.4,925,34,136,376,432,163,925,49,15,30.6,24,49,550,3469,1662,60,26,34,77,35,658,154,Matches
564,Chris Wood,nz NZL,FW,Nott'ham Forest,32,1991,32.9,770,40,89,361,322,105,767,13,4,30.8,8,61.5,376,1279,506,14,11,5,75,28,563,94,Matches
565,Nathan Wood-Gordon,eng ENG,DF,Southampton,22,2002,8.6,564,75,282,255,28,3,564,6,4,66.7,1,16.7,313,1352,535,2,6,0,5,1,419,0,Matches
566,Luke Woolfenden,eng ENG,DF,Ipswich Town,25,1998,13.2,694,147,407,278,9,3,694,0,0,,0,,368,2118,1249,7,3,0,4,0,442,0,Matches
567,Yehor Yarmoliuk,ua UKR,MF,Brentford,20,2004,16.1,960,61,277,501,203,15,960,27,13,48.1,11,40.7,520,2790,908,15,19,3,26,21,599,47,Matches
568,Ryan Yates,eng ENG,MF,Nott'ham Forest,26,1997,21.3,1041,80,276,510,266,41,1041,18,9,50,5,27.8,424,2057,934,18,18,1,24,18,545,16,Matches
569,Leny Yoro,fr FRA,DF,Manchester Utd,18,2005,12.9,894,87,413,414,70,13,894,4,2,50,2,50,614,3173,1765,19,13,1,3,4,656,4,Matches
570,Ashley Young,eng ENG,DF,Everton,39,1985,20.8,1194,61,369,528,305,9,1194,20,7,35,9,45,487,2447,1378,24,26,1,11,1,618,32,Matches
571,Illia Zabarnyi,ua UKR,DF,Bournemouth,21,2002,34.5,2062,234,929,1078,77,16,2062,9,6,66.7,2,22.2,1282,8351,4948,27,21,0,14,3,1306,4,Matches
572,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,27,1996,5.9,499,16,86,233,181,20,499,5,3,60,1,20,281,1348,573,10,8,3,3,4,348,14,Matches
573,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23,2001,15.6,587,16,71,303,219,56,587,35,11,31.4,24,68.6,327,1483,523,14,21,4,41,30,418,69,Matches
574,Martin Ødegaard,no NOR,MF,Arsenal,25,1998,25.8,1694,9,126,708,875,115,1693,59,25,42.4,32,54.2,1174,7444,3772,92,85,26,38,40,1336,154,Matches
