,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
32,Alphonse Areola,fr FRA,GK,West Ham,31,1993,25.1,0,0,0,0,0,0,0,0,2,0,0,1,29,2,0,100,Matches
33,Joe Aribo,ng NGA,"MF,DF",Southampton,28,1996,22.4,1,0,0,20,28,1,10,20,33,0,1,0,112,25,24,51,Matches
34,Adam Armstrong,eng ENG,"FW,MF",Southampton,27,1997,13.9,4,0,0,12,5,9,14,3,3,0,0,0,23,5,9,35.7,Matches
35,Harrison Armstrong,eng ENG,MF,Everton,17,2007,0.5,1,0,0,2,2,0,1,0,0,0,0,0,2,0,2,0,Matches
36,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31,3,0,0,2,6,0,0,0,0,0,2,0,56,7,1,87.5,Matches
37,Marco Asensio,es ESP,MF,Aston Villa,28,1996,8.3,2,0,0,11,8,2,38,2,5,0,0,0,28,0,1,0,Matches
38,Brandon Austin,eng ENG,GK,Tottenham,25,1999,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,100,Matches
39,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,26,1997,4.6,0,0,0,8,10,1,2,0,3,0,0,0,18,13,38,25.5,Matches
40,Yasin Ayari,se SWE,MF,Brighton,20,2003,21.8,3,0,0,37,26,3,69,20,32,0,1,0,118,16,20,44.4,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,32,1991,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50,Matches
42,Jordan Ayew,gh GHA,"FW,MF",Leicester City,32,1991,18.2,5,0,0,30,59,7,60,12,15,0,0,0,93,37,80,31.6,Matches
43,Benoît Badiashile,fr FRA,DF,Chelsea,23,2001,3.7,0,0,0,6,2,0,0,6,6,0,0,0,18,8,2,80,Matches
44,Leon Bailey,jm JAM,"FW,MF",Aston Villa,26,1997,12.7,3,0,0,12,18,3,34,3,5,1,0,0,59,6,9,40,Matches
45,Carlos Baleba,cm CMR,MF,Brighton,20,2004,29.6,8,1,1,40,48,0,9,46,46,0,2,0,197,39,26,60,Matches
46,Ross Barkley,eng ENG,MF,Aston Villa,30,1993,6.5,3,0,0,8,3,0,1,10,3,0,0,0,43,6,4,60,Matches
47,Harvey Barnes,eng ENG,FW,Newcastle Utd,26,1997,19.5,0,0,0,15,22,5,47,6,9,0,0,0,55,6,15,28.6,Matches
48,Calvin Bassey,ng NGA,DF,Fulham,24,1999,34.2,7,0,0,26,32,2,8,20,34,0,0,0,168,43,33,56.6,Matches
49,Altay Bayındır,tr TUR,GK,Manchester Utd,26,1998,4,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,50,Matches
50,Jan Bednarek,pl POL,DF,Southampton,28,1996,28.1,7,0,0,31,13,0,1,56,19,0,1,0,106,71,37,65.7,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
51,Armel Bella Kotchap,de GER,DF,Southampton,22,2001,3.7,0,0,0,3,2,0,0,5,5,0,0,0,19,6,5,54.5,Matches
52,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,26,1998,18.6,3,0,0,31,47,1,44,10,24,0,0,0,62,10,19,34.5,Matches
53,Rodrigo Bentancur,uy URU,MF,Tottenham,27,1997,18.3,9,0,0,34,10,1,4,40,22,0,0,0,121,36,30,54.5,Matches
54,Daniel Bentley,eng ENG,GK,Wolves,31,1993,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,100,Matches
55,Sander Berge,no NOR,MF,Fulham,26,1998,24.7,6,0,0,31,10,0,3,21,30,0,0,0,126,28,22,56,Matches
56,Lucas Bergvall,se SWE,MF,Tottenham,18,2006,13.5,3,0,0,20,17,0,21,24,19,0,0,0,73,9,8,52.9,Matches
57,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,21,2002,27.6,1,0,0,19,18,3,97,42,51,0,1,1,99,22,42,34.4,Matches
58,Beto,gw GNB,FW,Everton,26,1998,17,2,0,0,33,23,16,4,4,6,0,0,0,40,99,105,48.5,Matches
59,Philip Billing,dk DEN,MF,Bournemouth,28,1996,2,1,0,0,3,2,0,10,5,5,0,0,0,14,6,4,60,Matches
60,Yves Bissouma,ml MLI,MF,Tottenham,27,1996,15.6,7,0,0,28,18,0,2,18,31,0,2,0,85,7,7,50,Matches
61,Oscar Bobb,no NOR,FW,Manchester City,21,2003,0.2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,Matches
62,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,20,2004,5.3,2,0,0,8,11,0,0,1,6,0,0,0,13,6,6,50,Matches
63,Willy Boly,ci CIV,DF,Nott'ham Forest,33,1991,1.7,1,0,0,1,0,0,0,3,1,0,0,0,5,6,2,75,Matches
64,Sven Botman,nl NED,DF,Newcastle Utd,24,2000,4.6,1,0,0,5,4,0,0,5,9,0,0,0,14,17,9,65.4,Matches
65,Jarrod Bowen,eng ENG,"FW,MF",West Ham,27,1996,33,1,0,0,20,51,10,106,16,26,0,0,0,129,12,48,20,Matches
66,Conor Bradley,nir NIR,DF,Liverpool,21,2003,8.4,4,0,0,12,14,1,7,4,10,0,0,0,51,11,7,61.1,Matches
67,Jarrad Branthwaite,eng ENG,DF,Everton,22,2002,27.9,4,0,0,12,18,1,5,27,20,0,0,0,93,61,42,59.2,Matches
68,James Bree,eng ENG,DF,Southampton,26,1997,11.9,0,0,0,4,5,0,29,9,14,0,0,0,65,12,7,63.2,Matches
69,Ben Brereton,cl CHI,FW,Southampton,25,1999,5,1,0,0,4,8,1,5,0,2,0,0,0,16,9,7,56.3,Matches
70,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26,1998,7.8,1,0,0,4,13,2,9,4,4,0,0,0,32,1,10,9.1,Matches
71,Armando Broja,al ALB,FW,Everton,22,2001,3.7,1,0,0,6,4,3,1,1,1,0,0,0,9,18,21,46.2,Matches
72,David Brooks,wls WAL,"FW,MF",Bournemouth,27,1997,10.7,3,0,0,11,18,0,52,5,6,0,0,0,50,7,10,41.2,Matches
73,Emi Buendía,ar ARG,"MF,FW",Aston Villa,27,1996,1.1,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0,Matches
